1,2019-04-06,24276.033203125
2,2019-04-06,27242.599609375
3,2019-04-06,23211.0
4,2019-04-06,27158.974609375
0,2019-04-07,21480.517578125
1,2019-04-07,22077.0
2,2019-04-07,22430.9140625
3,2019-04-07,22400.0
4,2019-04-07,22367.158203125
0,2019-04-08,13714.9697265625
1,2019-04-08,13620.3330078125
2,2019-04-08,20003.0859375
3,2019-04-08,11465.0
4,2019-04-08,15363.1845703125
0,2019-04-09,23285.087890625
1,2019-04-09,26572.767578125
2,2019-04-09,19283.37109375
3,2019-04-09,28272.0
4,2019-04-09,20024.947265625
0,2019-04-10,26783.19921875
1,2019-04-10,25323.5
2,2019-04-10,25235.7421875
3,2019-04-10,28212.0
4,2019-04-10,25192.341796875
0,2019-04-11,25356.865234375
1,2019-04-11,25290.267578125
2,2019-04-11,25692.62890625
3,2019-04-11,25206.5
4,2019-04-11,25878.474609375
0,2019-04-12,15318.8662109375
1,2019-04-12,15311.2001953125
2,2019-04-12,12628.37109375
3,2019-04-12,17429.0
4,2019-04-12,13048.8681640625
0,2019-04-13,27756.728515625
1,2019-04-13,27695.80078125
2,2019-04-13,28070.7421875
3,2019-04-13,27872.0
4,2019-04-13,28154.921875
0,2019-04-14,26676.318359375
1,2019-04-14,26287.033203125
2,2019-04-14,25785.970703125
3,2019-04-14,27454.0
4,2019-04-14,26275.2109375
0,2019-04-15,20754.62109375
1,2019-04-15,16757.232421875
2,2019-04-15,23927.65625
3,2019-04-15,14837.0
4,2019-04-15,18329.89453125
0,2019-04-16,27215.44140625
1,2019-04-16,26911.732421875
2,2019-04-16,26873.142578125
3,2019-04-16,27310.5
4,2019-04-16,26824.31640625
0,2019-04-17,27887.23828125
1,2019-04-17,27357.466796875
2,2019-04-17,27366.0859375
3,2019-04-17,28160.0
4,2019-04-17,27493.921875
0,2019-04-18,28817.318359375
1,2019-04-18,28980.900390625
2,2019-04-18,24842.34375
3,2019-04-18,26063.0
4,2019-04-18,25597.552734375
0,2019-04-19,16801.490234375
1,2019-04-19,12497.7001953125
2,2019-04-19,10439.4853515625
3,2019-04-19,14774.0
4,2019-04-19,10640.6845703125
0,2019-04-20,26258.03125
1,2019-04-20,24592.30078125
2,2019-04-20,25372.970703125
3,2019-04-20,24709.0
4,2019-04-20,27195.921875
0,2019-04-21,23863.0078125
1,2019-04-21,28121.0
2,2019-04-21,26408.45703125
3,2019-04-21,25356.0
4,2019-04-21,28644.31640625
0,2019-04-22,29487.0
1,2019-04-22,29226.1328125
2,2019-04-22,29379.62890625
3,2019-04-22,29545.0
4,2019-04-22,29313.658203125
0,2019-04-23,30281.697265625
1,2019-04-23,30154.099609375
2,2019-04-23,30107.884765625
3,2019-04-23,30353.0
4,2019-04-23,30312.263671875
0,2019-04-24,26685.2265625
1,2019-04-24,28515.80078125
2,2019-04-24,26181.0859375
3,2019-04-24,26971.0
4,2019-04-24,26171.841796875
0,2019-04-25,28891.150390625
1,2019-04-25,28626.69921875
2,2019-04-25,28389.65625
3,2019-04-25,29026.0
4,2019-04-25,28653.31640625
